,CBSA Code,Date,AQI,Category,Defining Parameter,Number of Sites Reporting,city_ascii,state_id,state_name,lat,lng,population,density,timezone
57171,17340,04/09/2021,49,Good,Ozone,1,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57172,17340,05/09/2021,49,Good,Ozone,1,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57173,17340,06/09/2021,50,Good,Ozone,1,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57174,17340,07/09/2021,40,Good,Ozone,3,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57175,17340,08/09/2021,34,Good,Ozone,1,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57176,17340,09/09/2021,32,Good,Ozone,1,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57177,17340,10/09/2021,29,Good,Ozone,1,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57178,17340,11/09/2021,37,Good,Ozone,1,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57179,17340,12/09/2021,39,Good,Ozone,1,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57180,17340,13/09/2021,46,Good,PM2.5,3,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57181,17340,14/09/2021,44,Good,Ozone,1,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57182,17340,15/09/2021,41,Good,Ozone,1,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57183,17340,16/09/2021,34,Good,Ozone,1,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57184,17340,17/09/2021,39,Good,Ozone,1,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57185,17340,18/09/2021,20,Good,Ozone,1,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57186,17340,19/09/2021,30,Good,Ozone,3,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57187,17340,20/09/2021,33,Good,Ozone,1,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57188,17340,21/09/2021,46,Good,Ozone,1,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57189,17340,22/09/2021,33,Good,Ozone,1,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57190,17340,23/09/2021,39,Good,Ozone,1,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57191,17340,24/09/2021,39,Good,Ozone,1,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57192,17340,25/09/2021,38,Good,Ozone,3,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57193,17340,26/09/2021,25,Good,Ozone,1,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57194,17340,27/09/2021,30,Good,Ozone,1,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57195,17340,28/09/2021,26,Good,Ozone,1,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57196,17340,29/09/2021,29,Good,Ozone,1,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57197,17340,30/09/2021,32,Good,Ozone,1,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57198,17340,01/10/2021,34,Good,Ozone,3,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57199,17340,02/10/2021,36,Good,Ozone,1,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57200,17340,03/10/2021,34,Good,Ozone,1,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
