,CBSA Code,Date,AQI,Category,Defining Parameter,Number of Sites Reporting,city_ascii,state_id,state_name,lat,lng,population,density,timezone
6047,18880,23/02/2022,29,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6048,18880,24/02/2022,25,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6049,18880,25/02/2022,25,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6050,18880,26/02/2022,32,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6051,18880,27/02/2022,31,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6052,18880,28/02/2022,29,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6053,18880,01/03/2022,42,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6054,18880,02/03/2022,46,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6055,18880,03/03/2022,58,Moderate,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6056,18880,04/03/2022,84,Moderate,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6057,18880,05/03/2022,48,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6058,18880,06/03/2022,32,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6059,18880,07/03/2022,29,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6060,18880,08/03/2022,19,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6061,18880,09/03/2022,19,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6062,18880,10/03/2022,29,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6063,18880,11/03/2022,26,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6064,18880,12/03/2022,40,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6065,18880,13/03/2022,42,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6066,18880,14/03/2022,41,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6067,18880,15/03/2022,37,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6068,18880,16/03/2022,44,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6069,18880,17/03/2022,44,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6070,18880,18/03/2022,41,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6071,18880,19/03/2022,36,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6072,18880,20/03/2022,43,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6073,18880,21/03/2022,49,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6074,18880,22/03/2022,44,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6075,18880,23/03/2022,40,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6076,18880,24/03/2022,50,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6077,18880,25/03/2022,51,Moderate,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6078,18880,26/03/2022,44,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6079,18880,27/03/2022,71,Moderate,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6080,18880,28/03/2022,49,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6081,18880,29/03/2022,42,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6082,18880,30/03/2022,47,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6083,18880,31/03/2022,45,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
8772,23540,01/01/2022,29,Good,Ozone,1,Gainesville,FL,Florida,29.6804,-82.3459,203541,816,America/New_York
8773,23540,02/01/2022,29,Good,PM2.5,1,Gainesville,FL,Florida,29.6804,-82.3459,203541,816,America/New_York
8774,23540,03/01/2022,23,Good,Ozone,1,Gainesville,FL,Florida,29.6804,-82.3459,203541,816,America/New_York
8775,23540,04/01/2022,36,Good,Ozone,1,Gainesville,FL,Florida,29.6804,-82.3459,203541,816,America/New_York
8776,23540,05/01/2022,31,Good,PM2.5,1,Gainesville,FL,Florida,29.6804,-82.3459,203541,816,America/New_York
8777,23540,06/01/2022,36,Good,PM2.5,1,Gainesville,FL,Florida,29.6804,-82.3459,203541,816,America/New_York
8778,23540,07/01/2022,35,Good,Ozone,1,Gainesville,FL,Florida,29.6804,-82.3459,203541,816,America/New_York
8779,23540,08/01/2022,39,Good,Ozone,1,Gainesville,FL,Florida,29.6804,-82.3459,203541,816,America/New_York
8780,23540,09/01/2022,36,Good,Ozone,1,Gainesville,FL,Florida,29.6804,-82.3459,203541,816,America/New_York
8781,23540,10/01/2022,24,Good,Ozone,1,Gainesville,FL,Florida,29.6804,-82.3459,203541,816,America/New_York
8782,23540,11/01/2022,38,Good,Ozone,1,Gainesville,FL,Florida,29.6804,-82.3459,203541,816,America/New_York
8783,23540,12/01/2022,41,Good,Ozone,1,Gainesville,FL,Florida,29.6804,-82.3459,203541,816,America/New_York
8784,23540,13/01/2022,43,Good,PM2.5,1,Gainesville,FL,Florida,29.6804,-82.3459,203541,816,America/New_York
8785,23540,14/01/2022,39,Good,PM2.5,1,Gainesville,FL,Florida,29.6804,-82.3459,203541,816,America/New_York
8786,23540,15/01/2022,43,Good,Ozone,1,Gainesville,FL,Florida,29.6804,-82.3459,203541,816,America/New_York
8787,23540,16/01/2022,36,Good,Ozone,1,Gainesville,FL,Florida,29.6804,-82.3459,203541,816,America/New_York
8788,23540,17/01/2022,33,Good,Ozone,1,Gainesville,FL,Florida,29.6804,-82.3459,203541,816,America/New_York
8789,23540,18/01/2022,31,Good,Ozone,1,Gainesville,FL,Florida,29.6804,-82.3459,203541,816,America/New_York
8790,23540,19/01/2022,38,Good,Ozone,1,Gainesville,FL,Florida,29.6804,-82.3459,203541,816,America/New_York
8791,23540,20/01/2022,40,Good,Ozone,1,Gainesville,FL,Florida,29.6804,-82.3459,203541,816,America/New_York
